"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"1964","Wrocławska","Stare Miasto","gminna","444",,
"1965","Wronczyńska","Grunwald","gminna","261",,
"1966","Wroniecka","Stare Miasto","gminna","308",,
"1967","Wrońskiego Józefa","Grunwald","gminna","93",,
"1968","Wrotyczowa","Stare Miasto","droga wewnętrzna","98",,
"1969","Wróblewskiego Walerego","Wilda","gminna","338",,
"1970","Wrzesińska","Nowe Miasto","droga wewnętrzna","260",,
"1971","Wrzesińska","Nowe Miasto","gminna","1676",,
"1972","Wrzoska Adama","Jeżyce","gminna","360",,
"1973","Wrzoska Adama","Jeżyce","droga wewnętrzna","161",,
"1974","Wrzosowa","Wilda","gminna","184",,
"1975","Wschodnia","Nowe Miasto","gminna","147",,
"1976","Wschowska","Grunwald","gminna","103",,
"1977","Wspólna","Wilda","gminna","700",,
"1978","Wszystkich Świętych","Stare Miasto","gminna","150",,
"1979","Wujka Jakuba ks.","Wilda","gminna","185",,
"1980","Wybickiego Józefa","Wilda","gminna","176",,
"1981","Wybieg","Nowe Miasto","gminna","680",,
"1982","Wygon","Nowe Miasto","gminna","274",,
"1983","Wykopy","Grunwald","gminna","963",,
"1984","Wyłom","Stare Miasto","gminna","335",,
"1985","Wyrzyska","Jeżyce","droga wewnętrzna","290",,
"1986","Wysockiego Piotra","Grunwald","gminna","133",,
"1987","Wysoka","Stare Miasto","gminna","168",,
"1988","Wyspiańskiego Stanisława plac","Grunwald","gminna","51",,
"1989","Wyszeborska","Grunwald","gminna","155",,
"1990","Wyszomierska","Grunwald","droga wewnętrzna","112",,
"1991","Wyszomierska","Grunwald","gminna","472",,
"1992","Wyzwolenia","Nowe Miasto","droga wewnętrzna","1407",,
"1993","Wyżyny","Stare Miasto","gminna","962",,
"1994","Wzgórze św. Wojciecha","Stare Miasto","droga wewnętrzna","38",,
"1995","Wzlotowa","Jeżyce","gminna","324",,
"1996","Za Bramką","Stare Miasto","gminna","235",,
"1997","Za Cybiną","Nowe Miasto","gminna","289",,
"1998","Za Cytadelą","Stare Miasto","gminna","1932",,
"1999","Za Groblą","Stare Miasto","gminna","204",,
"2000","Zaborowska","Nowe Miasto","gminna","85",,
"2001","Zabrzańska","Nowe Miasto","gminna","231",,
"2002","Zachodnia","Grunwald","gminna","261",,
"2003","Zacisze","Jeżyce","gminna","114",,
"2004","Zagajnikowa","Stare Miasto","gminna","1241",,
"2005","Zagłoby Onufrego","Grunwald","gminna","165",,
"2006","Zagonowa","Stare Miasto","gminna","384",,
"2007","Zagórze","Nowe Miasto","gminna","491",,
"2008","Zagórzycka","Jeżyce","gminna","262",,
"2009","Zagrodnicza","Stare Miasto","gminna","308",,
"2010","Zajęcza","Nowe Miasto","gminna","155",,
"2011","Zakątek","Grunwald","gminna","151",,
"2012","Zaklikowska","Nowe Miasto","gminna","638",,
"2013","Zakręt","Grunwald","gminna","339",,
"2014","Zakrzewska","Jeżyce","droga wewnętrzna","183",,
"2015","Zakrzewskiego Ksawerego","Stare Miasto","gminna","266",,
"2016","Zaleskiego Zygmunta","Jeżyce","gminna","160",,
"2017","Załęże","Grunwald","gminna","122",,
"2018","Zambrowska","Nowe Miasto","gminna","359",,
"2019","Zamiejska","Grunwald","droga wewnętrzna","240",,
"2020","Zamknięta","Grunwald","droga wewnętrzna","136",,
"2021","Zamkowa","Stare Miasto","gminna","95",,
"2022","Zamojska","Nowe Miasto","gminna","148",,
"2023","Zamoyskiego Władysława","Wilda","gminna","158",,
"2024","Zamysłowska","Grunwald","gminna","163",,
"2025","Zana Tomasza","Stare Miasto","gminna","309",,
"2026","Zaniemyska","Nowe Miasto","gminna","266",,
"2027","Zapolskiej Gabrieli","Jeżyce","droga wewnętrzna","84",,
"2028","Zawady","Nowe Miasto","gminna","111",,
"2029","Zawady","Nowe Miasto","gminna","602",,
"2030","Zawiertowska","Nowe Miasto","gminna","117",,
"2031","Zawilcowa","Grunwald","droga wewnętrzna","212",,
"2032","Ząbkowicka","Grunwald","gminna","402",,
"2033","Zbawiciela plac","Grunwald","gminna","67",,
"2034","Zbąszyńska","Grunwald","gminna","520",,
"2035","Zbożowa","Stare Miasto","gminna","166",,
"2036","Zbyłowita","Nowe Miasto","gminna","662",,
"2037","Zbyszka","Nowe Miasto","gminna","103",,
"2038","Zdobywców Monte Cassino","Stare Miasto","gminna","271",,
"2039","Zdrojowa","Nowe Miasto","gminna","180",,
"2040","Zdunowska","Nowe Miasto","gminna","125",,
"2041","Zdziechowska","Grunwald","droga wewnętrzna","149",,
"2042","Zdzisławy","Nowe Miasto","gminna","207",,
"2043","Zemborzycka","Nowe Miasto","gminna","85",,
"2044","Zgoda","Grunwald","gminna","601",,
"2045","Zgorzelecka","Grunwald","gminna","591",,
"2046","Ziarnista","Stare Miasto","gminna","79",,
"2047","Zieleńska","Nowe Miasto","gminna","60",,
"2048","Zieleńska","Nowe Miasto","powiatowa","184",,
"2049","Zielewicza Ignacego","Grunwald","gminna","66",,
"2050","Zieliniec","Nowe Miasto","gminna","495",,
"2051","Zielona","Stare Miasto","powiatowa","160",,
"2052","Ziemowita","Nowe Miasto","gminna","290",,
"2053","Ziemowita","Nowe Miasto","powiatowa","1145",,
"2054","Ziemska","Nowe Miasto","droga wewnętrzna","114",,
"2055","Ziębicka","Grunwald","gminna","603",,
"2056","Zimorodka","Nowe Miasto","droga wewnętrzna","39",,
"2057","Zimowa","Jeżyce","gminna","133",,
"2058","Zjazd","Jeżyce","gminna","118",,
"2059","Złocieniecka","Grunwald","gminna","252",,
"2060","Złota","Jeżyce","gminna","418",,
"2061","Złotej Kaczki","Grunwald","gminna","46",,
"2062","Zmartwychwstańców","Wilda","gminna","295",,
"2063","Znanieckiego Floriana","Stare Miasto","gminna","233",,
"2064","Zodiakowa","Nowe Miasto","droga wewnętrzna","120",,
"2065","Zołotowa Pawła","Jeżyce","gminna","130",,
"2066","Zorza","Grunwald","droga wewnętrzna","215",,
"2067","Związku Walki Zbrojnej","Stare Miasto","gminna","170",,
"2068","Zwierzyniecka","Jeżyce","gminna","528",,
"2069","Zwoleńska","Nowe Miasto","droga wewnętrzna","125",,
"2070","Zwrotnicza","Grunwald","gminna","418",,
"2071","Zygalskiego Henryka","Wilda","gminna","257",,
"2072","Źródlana","Jeżyce","gminna","442",,
"2073","Żabia","Grunwald","gminna","166",,
"2074","Żagańska","Grunwald","gminna","59",,
"2075","Żaglowa","Jeżyce","droga wewnętrzna","81",,
"2076","Żarnowiecka","Jeżyce","gminna","1025",,
"2077","Żbikowa","Nowe Miasto","gminna","600",,
"2078","Żegiestowska","Jeżyce","gminna","253",,
"2079","Żeglarska","Nowe Miasto","gminna","1248",,
"2080","Żegockiego Krzysztofa","Stare Miasto","gminna","439",,
"2081","Żelazna","Nowe Miasto","gminna","326",,
"2082","Żerkowska","Wilda","gminna","388",,
"2083","Żlebowa","Wilda","gminna","170",,
"2084","Żmichowskiej Narcyzy","Jeżyce","droga wewnętrzna","125",,
"2085","Żmigrodzka","Grunwald","gminna","544",,
"2086","Żmudzka","Jeżyce","gminna","132",,
"2087","Żniniewiczów Janiny i Jana","Jeżyce","droga wewnętrzna","145",,
"2088","Żnińska","Jeżyce","gminna","74",,
"2089","Żniwna","Stare Miasto","gminna","319",,
"2090","Żołnierzy Lenino","Stare Miasto","gminna","136",,
"2091","Żołnierzy Narwiku","Stare Miasto","gminna","127",,
"2092","Żonkilowa","Grunwald","gminna","423",,
"2093","Żorska","Nowe Miasto","gminna","976",,
"2094","Żukowska","Jeżyce","gminna","224",,
"2095","Żuławska","Jeżyce","gminna","160",,
"2096","Żupańskiego Jana","Wilda","gminna","392",,
"2097","Żurawia","Jeżyce","gminna","114",,
"2098","Żurawinowa","Wilda","droga wewnętrzna","217",,
"2099","Żuromińska","Jeżyce","gminna","98",,
"2100","Żwirki Franciszka","Jeżyce","gminna","391",,
"2101","Żwirowa","Grunwald","gminna","222",,
"2102","Żydowska","Stare Miasto","gminna","435",,
"2103","Żymierskiego Józefa","Jeżyce","gminna","164",,
"2104","Żytnia","Stare Miasto","gminna","236",,
"2105","Żywiecka","Nowe Miasto","gminna","554",,
"2106","Żywocicka","Grunwald","gminna","135",,
"2107","Żywokostowa","Stare Miasto","gminna","338",,
"2108","Żyzna","Nowe Miasto","droga wewnętrzna","424",,

