"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"363","Dygata Stanisława","PJ","F","404","69","299"
"364","Dziadoszańska","PN","G","42","140","609"
"365","Działkowa","PG","G","80","211","1625"
"366","Działoszycka","PN","G","43","341","2279"
"367","Działowa","PS","G","39","252","1902"
"368","Działyńskich","PS","G","54","168","1094"
"369","Dzicza","PN","G","698","167","409"
"370","Dzieci Wrzesińskich","PN","G","44","282","1286"
"371","Dziedzicka","PN","G","45","869","2943"
"372","Dziekańska","PN","G","46","186","526"
"373","Dziewanny","PS","G","40","92","435"
"374","Dziewińska","PG","G","48","1302","7282"
"375","Dzięgielowa","PS","G","81","1547","13342"
"376","Dziurawcowa","PS","G","82","208","1041"
"377","Dziwnowska","PJ","G","614","108","879"
"378","Elbląska","PJ","G","53","989","3980"
"379","Engeströma Wawrzyńca","PJ","G","54","334","2048"
"380","Estońska","PS","F","84","478","3350"
"381","Eurypidesa","PJ","G","525","329","1747"
"382","Ewangelicka","PS","G","41","275","1870"
"383","Ezopa","PG","G","50","128","652"
"384","Fabryczna","PW","G","85","459","3387"
"385","Falista","PN","G","86","160","1037"
"386","Faszynowa","PN","F","87","386","1333"
"387","Fedrusa","PG","G","51","104","630"
"388","Feldman Krystyny zaułek","PJ","F","95","47"
"389","Fiedlera Arkadego","PJ","G","687","244","978"
"390","Fieldorfa Augusta Emila","PJ","G","85","673","2054"
"391","Figowa","PS","F","543","93","456"
"392","Filarecka","PW","G","34","150","749"
"393","Filipińska","PN","G","47","146","931"
"394","Fiołkowa","PW","G","35","233","1463"
"395","Firlika Franciszka","PJ","F","469","342","1542"
"396","Floksowa","PG","G","88","1037","4676"
"397","Folwarczna","PN","G","48","2824","14894"
"398","Forsycjowa","PG","F","674","302","2223"
"399","Franciszkańska","PS","G","42","130","635"
"400","Franowo","PN","G","49","757","5378"
"401","Fredry Aleksandra","PS","P","25025","661","6502"
"402","Fregatowa","PJ","F","89","283","825"
"403","Frezjowa","PG","G","90","939","6131"
"404","Fromborska","PJ","G","56","264","1444"
"405","Gabszewicza Aleksandra","PN","F","533","409","2434"
"406","Gajcego Tadeusza","PJ","F","549","129","564"
"407","Gajcego Tadeusza","PJ","G","156","126","615"
"408","Gajowa","PJ","G","57","209","1952"
"409","Galeonowa","PJ","F","91","42","126"
"410","Galileusza","PG","F","92","762","3487"
"411","Galla Anonima","PJ","G","58","502","3175"
"412","Gałczyńskiego Konstantego Ildefonsa","PG","G","93","495","2647"
"413","Garaszewo","PN","G","50","4122","18611"
"414","Garczyńskiego Józefa","PW","G","37","174","675"
"415","Gardowska","PN","G","51","183","822"
"416","Garncarska","PS","G","43","146","468"
"417","Garsteckiego Maksymiliana","PS","G","44","194","1368"
"418","Gąsawska","PN","G","531","62","259"
"419","Gdańska","PN","G","52","135","1022"
"420","Geodetów","PJ","G","59","176","457"
"421","Gerberowa","PG","G","94","589","3818"
"422","Gerwela Czesława","PG","F","95","48","111"
"423","Gęsia","PG","G","54","103","375"
"424","Gieburowskiego Wacława","PS","F","96","400","3124"
"425","Gladiolowa","PG","G","97","300","1824"
"426","Glebowa","PN","G","54","1883","9532"
"427","Gliniana","PG","G","56","66"
"428","Glinianki","PG","F","573","279","1427"
"429","Glinienko","PS","G","98","937","3259"
"430","Glinno","PS","F","538","96","480"
"431","Gliwicka","PW","G","38","172","1161"
"432","Gładka","PN","G","55","77","296"
"433","Głazowa","PW","G","39","600","3192"
"434","Głęboka","PW","F","99","78","414"
"435","Głogowa","PW","G","40","133","678"
"436","Głowicka","PG","G","57","187","736"
"437","Główieniec","PN","G","56","418","1846"
"438","Głuchowska","PG","G","100","470","2855"
"439","Gminna","PN","G","57","312","1106"
"440","Gniewka","PN","G","101","86","468"
"441","Gniewska","PJ","G","292","989","4678"
"442","Gogola Nikołaja","PJ","F","606","135","661"
"443","Gojawiczyńskiej Poli","PJ","F","404","119","485"
"444","Goleniowska","PG","F","102","89","396"
"445","Goleszowska","PW","G","41","631","2239"
"446","Gołdapska","PJ","G","472","73","459"
"447","Gołębia","PS","G","45","162","732"
"448","Gołężycka","PN","G","59","1481","7948"
"449","Gołubiewa Antoniego","PJ","G","688","83","506"
"450","Gołuchowska","PW","G","42","432","1660"
"451","Gombrowicza Witolda","PJ","G","689","184","1276"
"452","Goplańska","PN","G","60","801","3306"
